url_length,has_https,has_ip_address,has_at_symbol,dot_count,hyphen_count,subdomain_count,path_length,query_length,has_suspicious_tld,suspicious_keyword_count,is_shortened,has_brand_impersonation,digit_count_in_domain,has_double_slash_redirect,special_char_count,label
34,0,0,0,1,1,0,7,0,1,3,0,1,0,0,1,1
19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
26,1,0,0,2,0,1,1,2,0,0,0,0,0,0,1,0
20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
22,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
34,1,0,0,2,0,1,13,2,0,1,0,0,0,0,1,0
27,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
38,0,0,0,1,2,0,7,0,1,3,0,1,0,0,1,1
44,0,0,0,1,2,0,7,0,1,1,0,0,0,0,1,1
46,0,0,0,2,2,0,19,0,1,1,0,0,0,0,1,1
25,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
19,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
34,0,0,0,2,1,1,8,0,1,3,0,1,0,0,1,1
28,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
52,0,0,0,2,2,0,19,9,1,1,0,0,0,0,3,1
49,1,0,0,1,0,0,24,0,0,0,0,0,0,0,1,0
23,0,0,0,1,0,0,10,0,0,0,1,0,0,0,1,1
25,1,0,0,2,0,1,7,1,0,1,0,0,0,0,1,0
45,0,0,0,1,1,0,6,1,1,3,0,1,0,0,1,1
53,0,0,0,1,1,0,22,11,1,1,0,0,0,0,3,1
35,1,0,0,2,0,1,15,0,0,0,0,0,0,0,1,0
19,0,0,0,1,0,0,8,3,0,0,1,0,0,0,1,1
26,1,0,0,2,0,1,2,2,0,0,0,0,0,0,1,0
30,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0
36,0,0,0,1,2,0,6,0,1,0,0,0,0,0,1,1
37,0,0,0,1,1,0,7,0,1,3,0,1,0,0,1,1
41,0,0,0,1,1,0,15,0,1,1,0,0,1,0,1,1
24,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
39,0,0,0,1,2,0,8,0,1,3,0,1,0,0,1,1
40,1,0,0,2,1,1,16,0,0,1,0,0,0,0,1,0
45,0,0,0,1,2,0,7,0,1,0,0,0,0,0,1,1
27,1,0,0,2,0,1,2,0,0,1,0,0,0,0,1,0
25,1,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0
37,0,0,0,1,3,0,13,0,1,0,0,0,0,0,1,1
40,0,0,0,1,0,0,5,0,1,3,0,0,8,0,1,1
43,0,0,0,2,1,1,11,4,1,4,0,1,0,0,1,1
22,1,0,0,2,0,1,1,2,0,0,0,0,0,0,1,0
65,0,0,0,5,0,4,5,13,1,5,0,0,0,0,3,1
34,0,1,0,3,0,2,13,0,0,2,0,0,10,0,1,1
25,1,0,0,2,0,1,1,1,0,0,1,0,0,0,1,0
21,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
64,0,0,0,1,3,0,17,12,1,5,0,1,0,0,3,1
33,0,1,0,3,0,2,13,0,0,2,0,0,10,0,1,1
41,0,0,0,1,2,0,8,3,1,3,0,1,0,0,1,1
79,0,0,0,1,3,0,13,22,1,6,0,1,0,0,5,1
18,1,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0
64,0,0,0,1,1,0,14,28,1,4,0,0,0,1,5,1
24,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
25,0,1,0,3,0,2,14,0,0,1,0,0,5,0,1,1
18,1,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0
41,1,0,0,1,0,0,16,0,0,0,0,0,0,0,1,0
32,1,0,0,2,0,1,4,2,0,1,0,0,0,0,1,0
34,0,0,0,1,0,0,14,4,0,0,1,0,0,0,1,1
56,1,0,0,2,0,1,7,26,0,1,0,0,0,0,6,0
31,0,1,0,3,0,2,13,0,0,2,0,0,8,0,1,1
40,0,0,0,1,2,0,22,0,1,1,0,0,0,0,1,1
51,1,0,0,2,0,1,21,7,0,0,1,0,0,0,3,0
28,0,1,0,3,0,2,13,0,0,1,0,0,5,0,1,1
45,0,0,0,4,0,3,4,4,1,4,0,1,0,0,1,1
42,0,0,0,1,3,0,7,0,1,0,0,0,0,0,1,1
52,0,0,0,5,0,4,5,1,1,5,0,0,0,0,1,1
34,0,0,0,1,1,0,16,0,0,0,1,0,0,0,1,1
83,0,0,0,1,4,0,14,22,1,6,0,0,0,0,5,1
28,1,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0
29,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
86,0,0,1,2,3,0,19,25,1,3,0,1,3,0,3,1
46,0,0,0,1,1,0,18,2,1,2,0,1,0,0,1,1
25,0,0,0,1,0,0,12,0,0,0,1,0,0,0,1,1
27,1,0,0,2,0,1,7,1,0,1,0,0,0,0,1,0
39,1,0,0,2,0,1,7,9,0,1,0,0,0,0,3,0
30,1,0,0,2,0,1,7,0,0,1,0,0,0,0,1,0
33,0,0,0,1,1,0,6,0,1,2,0,1,0,0,1,1
22,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0
31,0,1,0,3,0,2,15,0,0,2,0,0,8,0,1,1
46,0,0,0,1,2,0,16,2,1,5,0,0,0,0,1,1
42,0,0,0,1,1,0,16,0,1,2,0,1,0,0,1,1
21,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0
42,0,0,0,1,2,0,24,0,1,2,0,0,0,0,1,1
27,1,0,0,2,0,1,0,0,0,1,1,0,0,0,1,0
59,0,0,0,1,2,0,6,12,1,4,0,0,0,0,3,1
21,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0
41,0,0,0,1,3,0,6,0,1,0,0,0,0,0,1,1
35,0,0,0,1,1,0,8,0,1,2,0,0,1,0,1,1
42,1,0,0,2,0,1,15,0,0,1,0,0,0,0,1,0
41,0,0,0,1,2,0,8,0,1,2,0,0,0,0,1,1
34,1,0,0,2,0,1,14,0,0,1,0,0,0,0,1,0
42,0,0,1,2,1,0,7,0,1,2,0,0,0,0,1,1
42,0,0,0,1,2,0,8,0,1,0,0,0,0,0,1,1
42,1,0,0,2,0,1,19,1,0,1,0,0,0,0,1,0
42,0,0,0,1,1,0,15,0,1,3,0,0,1,0,1,1
79,0,0,0,1,4,0,13,23,1,6,0,0,0,0,5,1
39,0,0,1,2,0,0,7,0,1,2,0,0,0,0,1,1
23,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0
18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
36,0,0,0,1,1,0,17,0,1,1,0,0,1,0,1,1
43,0,0,0,2,1,1,11,0,1,2,0,1,3,0,1,1
20,0,0,0,1,0,0,12,4,0,0,1,0,0,0,1,1
41,0,0,0,1,2,0,9,0,1,1,0,0,0,0,1,1
43,1,0,0,2,0,1,21,1,0,1,0,0,0,0,1,0
22,1,0,0,2,0,1,2,2,0,0,0,0,0,0,1,0
26,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
49,0,0,1,3,1,0,10,3,1,2,0,0,0,0,1,1
32,1,0,0,2,0,1,10,0,0,0,0,0,0,0,1,0
45,0,0,0,1,1,0,20,4,1,2,0,1,0,0,1,1
19,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0
53,0,0,0,2,2,0,24,0,0,1,0,0,0,1,1,1
42,0,0,0,1,1,0,15,0,1,3,0,1,0,0,1,1
41,0,0,0,1,1,0,8,4,1,2,0,1,0,0,1,1
46,0,0,0,1,4,0,9,1,1,4,0,0,0,0,1,1
27,1,0,0,2,0,1,5,0,0,1,0,0,0,0,1,0
51,1,0,0,4,0,1,28,0,0,0,0,0,0,0,1,0
34,0,0,0,2,1,1,5,2,1,2,0,1,0,0,1,1
43,1,0,0,2,0,1,6,13,0,0,0,0,0,0,3,0
16,1,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0
38,0,1,0,3,0,2,15,3,0,2,0,0,10,0,1,1
28,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0
12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
49,0,0,0,2,1,1,8,4,1,2,0,1,0,0,1,1
41,0,0,0,1,1,0,16,0,1,2,0,1,0,0,1,1
37,0,0,0,1,2,0,6,0,1,3,0,0,0,0,1,1
42,1,0,0,2,0,1,19,0,0,1,0,0,0,0,1,0
25,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
32,0,0,0,1,1,0,11,0,1,3,0,1,0,0,1,1
29,1,0,0,2,0,1,5,0,0,0,0,0,0,0,1,0
47,0,0,0,2,2,0,29,0,0,1,0,0,0,1,1,1
18,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
21,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
36,0,0,0,2,0,0,17,0,1,1,0,0,0,0,1,1
49,0,0,0,1,3,0,8,2,1,2,0,1,0,0,1,1
68,0,0,0,1,3,0,15,9,1,5,0,1,0,0,3,1
35,0,0,0,1,2,0,6,0,1,0,0,0,4,0,1,1
21,1,0,0,2,0,1,0,1,0,1,0,0,0,0,1,0
42,0,0,0,1,3,0,5,0,1,0,0,0,0,0,1,1
42,0,0,0,1,1,0,7,4,1,2,0,1,0,0,1,1
52,0,0,0,1,4,0,4,4,1,3,0,0,0,0,1,1
35,1,0,0,2,0,1,11,0,0,0,0,0,0,0,1,0
36,0,0,0,2,1,1,7,0,1,4,0,1,0,0,1,1
29,1,0,0,2,0,1,8,1,0,2,0,0,0,0,1,0
40,0,0,0,1,1,0,13,0,1,2,0,0,2,0,1,1
22,0,0,0,1,0,0,7,1,0,0,1,0,0,0,1,1
40,0,0,0,1,2,0,9,0,1,4,0,0,0,0,1,1
32,0,0,0,1,1,0,8,0,1,1,0,0,1,0,1,1
37,0,0,0,1,1,0,8,0,1,2,0,1,0,0,1,1
40,0,0,1,3,1,0,6,0,1,2,0,0,0,0,1,1
65,0,0,0,1,3,0,15,11,1,2,0,1,0,0,3,1
35,1,0,0,2,0,1,14,0,0,0,0,0,0,0,1,0
20,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
38,1,0,0,2,0,1,17,0,0,1,0,0,0,0,1,0
61,1,0,0,2,0,1,8,29,0,0,0,0,0,0,4,0
43,0,0,0,1,4,0,5,0,1,4,0,0,0,0,1,1
42,0,0,0,1,3,0,8,0,1,1,0,0,2,0,1,1
68,0,1,1,4,2,2,19,18,0,3,0,0,9,0,3,1
18,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
34,1,0,0,1,0,0,16,0,0,0,0,0,0,0,1,0
48,0,0,0,4,0,3,8,0,1,4,0,0,0,0,1,1
44,0,0,0,1,2,0,7,0,1,3,0,0,0,0,1,1
53,0,0,0,4,0,3,9,2,1,4,0,1,0,0,1,1
79,0,0,1,2,3,0,15,21,1,3,0,1,3,0,3,1
21,1,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0
32,1,0,0,2,0,1,10,0,0,2,0,0,0,0,1,0
29,1,0,0,2,0,1,1,1,0,1,0,0,0,0,1,0
34,0,0,0,1,2,0,8,0,1,3,0,1,0,0,1,1
45,0,0,0,1,2,0,16,0,1,5,0,0,0,0,1,1
39,1,0,0,2,0,1,9,2,0,0,0,0,0,0,1,0
37,1,0,0,2,1,1,16,0,0,1,1,0,0,0,1,0
43,1,0,0,2,0,1,24,0,0,0,0,0,0,0,1,0
43,0,0,0,1,2,0,7,0,1,1,0,0,0,0,1,1
40,1,0,0,3,0,1,18,0,0,1,0,0,0,0,1,0
26,1,0,0,2,0,1,7,0,0,0,0,0,0,0,1,0
47,0,0,0,1,2,0,8,0,1,0,0,0,0,0,1,1
44,1,0,0,2,1,1,15,0,0,0,0,0,0,0,1,0
38,0,0,0,1,2,0,8,0,1,1,0,0,0,0,1,1
41,0,0,1,2,1,0,7,0,1,2,0,0,0,0,1,1
32,0,0,0,1,1,0,6,0,1,2,0,1,0,0,1,1
37,0,0,0,2,1,1,8,0,1,3,0,1,0,0,1,1
23,0,0,0,1,0,0,12,0,0,1,1,0,0,0,1,1
33,1,0,0,2,0,1,15,1,0,0,0,0,0,0,1,0
64,0,0,0,1,3,0,11,14,1,4,0,1,0,0,3,1
39,1,0,0,2,0,1,10,0,0,1,0,0,0,0,2,0
63,0,0,0,1,3,0,13,12,1,2,0,1,0,0,3,1
27,1,0,0,2,0,1,1,0,0,1,1,0,0,0,1,0
23,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
30,0,0,0,1,1,0,7,0,1,2,0,0,2,0,1,1
36,1,0,0,2,0,1,14,0,0,0,1,0,0,0,1,0
28,1,0,0,2,0,1,7,0,0,1,0,0,0,0,1,0
42,0,0,0,1,1,0,13,0,1,3,0,1,0,0,1,1
38,0,0,0,1,1,0,12,0,1,1,0,0,1,0,1,1
39,0,0,0,1,1,0,16,0,1,2,0,1,0,0,1,1
49,0,0,0,5,0,4,5,0,1,5,0,0,0,0,1,1
22,1,0,0,2,0,1,2,2,0,1,0,0,0,0,1,0
31,0,0,0,1,0,0,7,3,1,3,0,0,6,0,1,1
36,1,0,0,1,0,0,16,2,0,0,0,0,0,0,1,0
39,0,0,0,1,2,0,12,2,1,3,0,1,0,0,1,1
27,1,0,0,2,0,1,0,1,0,1,0,0,0,0,1,0
32,0,1,0,3,0,2,14,0,0,2,0,0,8,0,1,1
28,1,0,0,2,0,1,0,2,0,0,1,0,0,0,1,0
27,1,0,0,2,0,1,6,0,0,1,0,0,0,0,1,0
47,0,0,1,2,0,0,11,2,1,2,0,0,0,0,1,1
20,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0
50,0,0,0,4,0,3,7,0,1,4,0,1,0,0,1,1
61,0,0,0,1,3,0,13,12,1,4,0,1,0,0,3,1
40,0,0,0,1,2,0,6,0,1,0,0,0,0,0,1,1
48,0,0,0,1,3,0,6,0,1,2,0,1,0,0,1,1
50,0,0,0,1,2,0,7,10,1,4,0,0,0,0,3,1
39,0,0,0,2,1,1,8,0,1,2,0,1,3,0,1,1
44,0,0,0,1,3,0,25,0,1,1,0,0,0,0,1,1
22,0,0,0,1,0,0,10,0,0,0,1,0,0,0,1,1
34,0,0,0,1,1,0,17,4,0,0,1,0,0,0,1,1
38,0,0,0,1,3,0,5,0,1,1,0,0,0,0,1,1
56,0,0,0,1,4,0,7,0,1,3,0,0,0,0,1,1
19,0,0,0,1,0,0,10,1,0,1,1,0,0,0,1,1
40,0,0,0,1,1,0,12,1,1,2,0,1,0,0,1,1
31,0,0,0,1,1,0,8,0,1,2,0,1,0,0,1,1
40,0,0,0,1,2,0,7,0,1,2,0,0,0,0,1,1
54,0,0,0,4,0,3,9,0,1,4,0,0,0,0,1,1
24,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0
39,1,0,0,1,0,0,17,0,0,0,0,0,0,0,1,0
21,1,0,0,2,0,1,4,2,0,0,0,0,0,0,1,0
48,0,0,0,1,1,0,12,0,1,3,0,1,0,0,1,1
34,0,0,0,1,0,0,7,0,1,3,0,0,6,0,1,1
46,0,0,0,2,1,1,8,0,1,2,0,1,0,0,1,1
26,1,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0
65,0,0,0,1,1,0,16,24,1,4,0,0,0,1,5,1
39,0,0,0,2,1,1,6,0,1,2,0,1,0,0,1,1
35,0,0,0,1,2,0,10,0,1,3,0,1,0,0,1,1
32,0,1,0,3,0,2,10,1,0,2,0,0,9,0,1,1
35,0,1,0,3,0,2,15,0,0,2,0,0,10,0,1,1
22,1,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0
30,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0
39,0,0,0,2,1,1,11,0,1,4,0,1,0,0,1,1
42,1,0,0,2,0,1,6,9,0,1,0,0,0,0,3,0
78,0,0,0,1,4,0,20,12,1,4,0,1,0,0,3,1
33,1,0,0,2,0,1,14,0,0,1,0,0,0,0,1,0
29,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
37,0,0,0,1,2,0,8,0,1,1,0,0,0,0,1,1
43,0,0,0,1,2,0,7,0,1,4,0,0,0,0,1,1
17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
25,1,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0
31,0,1,0,3,0,2,12,0,0,2,0,0,9,0,1,1
32,0,0,0,1,1,0,9,0,1,1,0,0,1,0,1,1
42,0,0,0,1,2,0,7,0,1,0,0,0,0,0,1,1
60,0,0,0,2,2,0,22,4,0,1,0,0,0,1,1,1
31,1,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0
43,0,0,0,1,3,0,8,0,1,0,0,0,0,0,1,1
